name,geoid,Total Population,Total above poverty level,Under 5 years,5 years,6 to 11 years,12 to 14 years,15 years,16 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Total Male,Total Male below poverty rate,Under 5 years,5 years,6 to 11 years,12 to 14 years,15 years,16 to 17 years,18 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and over,Total Female ,Total Female below poverty rate,Total below poverty ,Total below Poverty Rate ,White ,Black or African American,American Indian and Alaska Native,Asian,Not Hispanic or Latino,Native Hawaiian and other pacific islander,Some other race alone,Two or more races,Two races including some other race,"Two races including some other race, and three or more races","Less than $10,000k","$10k to $14,999","$15k to $19,999","$20k to $24,999","$25k to $29,999","$30k to $34,999","$35k to $39,999","$40k to $44,999","$45k to $49,999","$50k to $59,999","$60k to $74,999","$70k to $99,999","$100k to $124,999","$125k to $149,999","$150k to $199,000",$200k or more,Total education attainment for over 25 years olds,Total Households income,No Schooling Completed,Nursery to 4th grade,5th grade to 6th grade,7th to 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma ",High School graduate,"Some college, Less than one year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's dregree,Master's degree,Proffessional School degree,doctorate degree,Total Male,At least bachelor's dg Total,No Schooling Completed,Nursery to 4th grade,5th grade to 6th grade,7th to 8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma ",High School graduate,"Some college, Less than one year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's dregree,Master's degree,Proffesional School degree,doctorate degree,Total Female,At least bachelor's dg Total
Maryland,04000US24,"6,037,624","5,363,282","22,236","4,900","26,876","12,052","3,809","8,314","28,448","26,000","21,769","22,886","27,120","15,098","10,393","229,901",3.81%,"22,075","4,256","25,894","11,524","4,271","7,149","38,423","45,218","34,838","29,273","32,659","23,198","22,874","301,652",5.00%,"5,894,835",8.80%,"3,028,494","1,773,702","11,223","382,027","5,418,206","1,954","24,269","196,537","15,815","180,722","103,685","57,440","62,419","61,900","65,428","71,654","67,551","72,240","67,331","141,003","197,122","290,610","245,970","184,979","241,284","299,911","4,164,698","2,230,527","30,576","12,253","18,368","22,517","24,668","29,746","30,576","36,049","502,982","114,616","246,045","114,657","423,294","232,771","69,545","62,674","1,971,337","788,284","28,939","9,808","17,125","21,544","18,472","28,433","29,968","33,986","503,026","137,852","281,073","168,241","484,229","320,863","60,687","49,115","2,193,361","914,894"
Massachusetts,04000US25,"6,873,003","5,983,875","23,454","4,288","27,881","14,164","4,764","9,191","41,989","36,488","25,165","28,579","33,083","19,859","14,194","283,099",4.12%,"23,615","4,221","26,118","12,311","4,928","9,146","47,403","57,424","41,506","36,667","42,736","30,901","33,379","370,355",5.39%,"6,637,329",9.51%,"4,865,022","466,288","8,943","462,831","6,044,863","2,327","53,983","185,469","37,940","147,529","132,385","107,856","91,647","88,298","81,232","87,520","79,608","82,466","76,947","153,516","215,212","316,659","268,235","207,151","279,582","378,666","4,815,331","2,646,980","33,005","14,298","18,338","29,984","23,093","29,924","28,465","37,181","579,178","110,159","237,547","148,567","560,775","287,052","77,357","80,219","2,295,142","1,005,403","38,934","18,045","19,452","29,994","21,610","28,259","25,873","33,339","554,180","127,544","263,010","221,210","620,678","388,320","69,785","59,956","2,520,189","1,138,739"
Michigan,04000US26,"9,973,907","8,416,285","62,717","10,864","66,108","31,618","10,794","19,117","91,529","70,007","57,094","61,084","70,018","32,075","18,279","601,304",6.03%,"59,515","10,964","65,454","29,618","10,538","20,812","111,228","110,166","77,393","71,502","77,494","47,219","44,049","735,952",7.38%,"9,753,541",13.41%,"7,428,622","1,342,592","42,931","314,736","9,452,704","2,675","27,247","293,901","26,159","267,742","254,424","164,841","173,968","191,008","186,517","197,084","179,593","183,781","164,047","316,226","407,333","515,271","353,084","229,265","236,748","227,218","6,853,674","3,980,408","37,265","7,599","15,525","34,978","31,529","56,891","68,853","58,028","982,549","252,925","518,240","270,875","594,043","260,942","75,360","49,307","3,314,909","979,652","37,649","8,034","13,455","32,343","28,596","51,675","62,843","51,050","973,105","274,644","541,840","388,052","657,074","331,363","52,634","34,408","3,538,765","1,075,479"
Minnesota,04000US27,"5,600,166","4,965,771","21,101","3,837","27,170","11,194","4,257","7,151","37,131","26,879","21,707","21,054","27,255","12,858","8,998","230,592",4.12%,"20,044","4,512","27,296","10,726","3,767","6,903","47,970","40,786","28,354","23,499","27,344","17,654","21,738","280,593",5.01%,"5,476,956",9.13%,"4,422,490","354,540","48,409","273,100","5,292,491","1,905","17,494","174,553","13,040","161,513","91,125","76,090","73,574","80,952","78,776","85,863","83,437","88,520","82,960","162,953","221,689","310,848","238,852","165,305","180,414","186,630","3,802,438","2,207,988","21,270","4,509","7,485","16,973","12,687","19,400","22,968","27,868","482,066","117,781","272,232","203,964","436,916","147,690","47,623","30,826","1,872,258","663,055","26,819","4,572","6,999","16,203","9,577","14,459","18,917","21,625","439,132","132,507","266,906","236,944","482,143","191,527","36,506","25,344","1,930,180","735,520"
Mississippi,04000US28,"2,981,835","2,318,635","27,060","4,684","34,489","16,260","4,976","9,071","31,664","25,840","22,996","19,859","24,409","12,458","7,908","241,674",8.10%,"26,106","5,288","33,342","15,281","4,991","9,791","39,216","46,967","38,986","30,508","33,780","20,399","18,110","322,765",10.82%,"2,883,074",18.93%,"1,680,938","1,118,689","12,897","29,561","2,887,493","1,090","5,139","39,179","2,348","36,831","104,924","74,879","72,148","65,578","61,701","60,789","49,176","54,064","47,898","85,560","103,877","127,828","79,785","45,432","45,303","37,707","1,983,112","1,116,649","13,333","5,106","8,628","22,735","22,735","30,335","32,619","20,995","302,749","55,135","148,358","82,419","118,293","43,995","16,463","10,896","934,794","189,647","10,857","3,638","7,641","20,870","18,027","25,702","30,533","17,281","294,165","63,949","173,267","120,836","156,273","82,388","13,445","9,446","1,048,318","261,552"
Missouri,04000US29,"6,124,160","5,169,821","34,751","6,567","40,585","17,577","6,263","11,682","50,192","40,707","30,819","32,827","40,544","18,760","12,273","343,547",5.61%,"35,104","5,858","38,733","18,115","6,121","12,571","62,751","63,021","45,399","40,094","46,563","28,104","27,011","429,445",7.01%,"5,942,813",12.62%,"4,826,943","692,510","20,646","122,506","5,861,483","7,876","12,840","178,162","25,828","152,334","147,673","108,642","113,735","120,844","118,135","125,816","115,100","116,061","103,487","200,301","251,035","318,133","213,353","133,447","128,665","125,785","4,176,792","2,440,212","18,716","3,964","7,478","31,197","25,358","38,698","41,448","34,649","649,359","140,894","291,426","143,272","363,832","142,611","44,035","30,337","2,007,274","580,815","17,440","3,786","6,051","32,701","24,388","36,870","41,817","28,484","626,628","163,754","324,441","193,389","406,427","208,364","32,197","22,781","2,169,518","669,769"
Montana,04000US30,"1,061,705","904,014","5,966",868,"5,999","2,674",629,"1,851","11,860","7,840","5,991","5,264","6,972","4,541","2,537","62,992",5.93%,"4,237",725,"5,652","2,685","1,011","1,518","12,561","10,171","7,033","5,553","8,273","5,420","4,645","69,484",6.54%,"1,036,490",12.48%,"908,782","4,931","62,720","8,527","1,020,204",552,"1,663","33,029","3,141","29,888","24,960","21,216","19,470","22,485","22,805","22,880","19,491","20,841","18,639","37,135","46,418","55,819","37,934","22,246","23,379","20,330","734,688","436,048","1,614",288,457,"4,444","2,643","4,663","5,389","4,917","108,679","24,204","59,104","31,091","77,925","24,002","9,187","5,979","364,586","117,093","1,400",287,410,"3,677","2,141","3,605","4,657","3,636","97,527","25,602","62,579","38,178","85,258","30,747","6,282","4,116","370,102","126,403"
Nebraska,04000US31,"1,923,826","1,675,647","9,381","1,660","9,746","4,103","1,436","2,893","15,688","10,728","7,278","7,493","8,118","4,424","3,290","86,238",4.48%,"8,634","1,715","9,581","3,744","1,202","2,733","20,805","15,176","10,358","8,668","9,966","6,114","8,886","107,582",5.59%,"1,869,467",10.07%,"1,507,127","89,744","13,378","47,539","1,708,874","1,051","2,602","47,433","2,773","44,660","38,358","28,791","30,324","32,709","33,429","37,081","33,981","34,541","33,307","62,917","84,668","108,323","75,720","46,013","46,641","39,860","1,259,540","766,663","8,990","3,201","5,859","7,422","6,250","7,004","8,845","9,303","167,268","43,710","92,575","67,094","125,293","43,252","13,742","9,313","619,121","191,600","7,746","3,017","4,958","6,625","5,506","5,805","7,965","7,688","156,830","50,529","98,524","67,511","144,019","56,434","9,858","7,404","640,419","217,715"
Nevada,04000US32,"3,030,281","2,606,122","18,353","3,267","21,440","9,693","2,606","6,391","17,961","21,526","17,376","16,465","20,207","12,180","6,533","173,998",5.74%,"16,458","3,333","19,338","8,798","3,133","6,195","22,750","32,703","26,493","21,731","21,875","14,789","10,101","207,697",6.85%,"2,987,817",12.60%,"1,460,159","271,744","25,928","246,904","2,154,483","19,401","11,581","118,766","10,897","107,869","66,304","39,423","45,135","50,576","49,072","54,014","50,293","52,296","47,851","91,196","117,934","155,150","108,948","65,320","69,852","66,647","2,093,820","1,130,011","18,106","6,932","18,971","10,259","15,392","15,057","21,259","32,424","299,153","76,322","183,776","82,096","169,425","58,256","21,644","11,802","1,040,874","261,127","19,464","7,915","18,166","12,141","13,432","15,592","20,887","28,002","285,545","83,257","182,612","94,063","179,080","70,468","13,945","8,377","1,052,946","271,870"
New Hampshire,04000US33,"1,355,244","1,215,352","3,126",898,"3,344","1,864",496,"1,334","6,717","4,720","3,588","4,494","6,408","3,331","2,156","42,476",3.13%,"2,938",396,"4,657","1,340",862,"1,254","7,648","8,886","5,914","5,221","6,891","4,369","4,566","54,942",4.05%,"1,312,770",7.19%,"1,214,029","18,343","1,895","36,398","1,302,452",320,"2,042","29,425","3,715","25,710","19,786","16,073","17,777","18,254","19,434","21,082","17,801","19,673","17,308","38,307","53,739","76,059","60,640","41,400","49,523","52,260","971,162","539,116","3,586","1,079","1,253","5,550","4,694","6,886","6,869","7,313","137,654","28,625","54,592","43,726","108,179","45,882","10,841","8,643","475,372","173,545","3,254","1,028",941,"4,689","3,417","5,084","5,002","4,810","127,299","30,926","60,558","57,642","115,635","60,655","8,552","6,298","495,790","191,140"
New Jersey,04000US34,"8,885,418","7,871,088","37,991","7,993","44,474","21,059","7,120","12,936","41,296","40,887","36,395","38,525","38,048","22,797","17,523","367,044",4.13%,"35,631","6,345","42,741","21,269","7,352","12,641","47,513","64,531","59,708","49,545","50,199","36,561","41,624","475,660",5.35%,"8,713,792",9.48%,"4,858,807","1,121,134","10,290","851,568","7,070,340","2,122","42,308","184,111","28,511","155,600","154,067","100,910","105,337","113,786","105,225","111,896","100,528","102,482","92,714","199,515","273,508","401,811","332,973","250,856","341,209","485,237","6,169,501","3,272,054","42,633","19,562","40,379","36,747","30,205","34,930","39,073","55,436","797,490","149,796","341,927","170,247","718,302","321,948","96,771","58,362","2,953,808","1,195,383","46,429","22,428","37,132","42,556","27,827","34,471","38,267","52,686","852,363","166,728","337,803","239,324","811,848","391,081","71,456","43,294","3,215,693","1,317,679"
New Mexico,04000US35,"2,097,021","1,672,883","18,319","3,623","21,034","10,233","2,477","7,087","20,510","20,458","17,790","15,587","19,978","11,331","6,510","174,937",8.34%,"17,758","3,134","18,807","9,635","2,710","6,556","25,619","29,703","24,692","18,750","21,814","15,260","11,651","206,089",9.83%,"2,053,909",18.17%,"769,139","37,975","179,881","31,328","1,065,233","1,408","5,934","39,568","4,424","35,144","66,887","45,200","43,451","45,203","40,993","40,933","36,132","35,824","32,670","63,774","77,044","92,575","63,767","37,870","37,601","32,831","1,415,298","792,755","9,804","6,467","12,696","10,986","12,422","15,245","18,230","13,217","191,531","41,217","117,431","54,290","102,988","51,694","14,115","15,671","688,004","184,468","8,933","5,300","13,550","11,600","12,559","13,056","16,569","10,442","178,594","48,072","124,371","70,428","120,887","71,974","11,384","9,575","727,294","213,820"
New York,04000US36,"19,514,849","16,428,050","111,679","22,617","125,833","59,663","20,440","39,725","138,607","139,228","110,701","113,014","123,801","73,266","52,449","1,131,023",5.80%,"108,525","19,661","121,361","58,704","19,373","38,622","165,227","209,728","173,470","145,434","155,793","112,740","121,387","1,450,025",7.43%,"19,009,098",13.23%,"10,766,297","2,737,471","42,429","1,657,284","15,794,142","5,537","117,708","467,416","78,005","389,411","471,680","340,614","303,901","298,025","276,764","283,648","257,624","270,607","242,385","480,086","637,950","887,731","690,906","498,076","623,359","853,868","13,649,157","7,417,224","138,003","43,570","98,175","105,365","92,592","102,121","117,487","158,424","1,714,614","319,068","719,451","526,466","1,366,735","643,020","228,860","118,954","6,492,905","2,357,569","156,859","58,184","107,885","112,526","89,547","99,111","112,130","151,911","1,759,775","334,361","736,509","682,231","1,488,195","982,807","185,159","99,062","7,156,252","2,755,223"
North Carolina,04000US37,"10,386,227","8,686,391","63,163","12,012","81,367","34,952","11,850","22,470","80,984","69,213","58,254","56,291","68,030","33,609","21,114","613,309",5.91%,"68,043","12,511","77,018","34,227","12,669","22,141","102,631","120,126","91,560","78,572","81,835","48,964","48,333","798,630",7.69%,"10,098,330",13.59%,"6,503,292","2,182,623","108,223","306,140","9,395,176","6,249","30,335","258,314","17,072","241,242","250,593","195,066","192,544","198,104","200,149","203,150","191,904","190,825","167,543","322,695","402,364","507,194","344,491","208,450","216,293","240,227","7,096,773","4,031,592","44,535","19,833","39,340","60,219","69,215","80,105","74,557","53,969","908,568","204,599","493,413","282,053","662,302","246,546","74,139","55,276","3,368,669","1,038,263","41,573","14,783","29,966","51,574","55,438","66,002","68,435","45,672","897,835","239,408","562,596","419,195","786,670","349,598","57,294","42,065","3,728,104","1,235,627"
North Dakota,04000US38,"760,394","658,351","3,520",552,"3,058","1,502",419,779,"8,513","5,002","2,953","2,846","3,891","1,716","1,675","36,426",4.79%,"3,032",476,"3,205","1,286",503,"1,127","9,606","6,033","3,739","2,691","2,978","2,849","3,540","41,065",5.40%,"735,842",10.19%,"636,284","23,459","37,170","11,831","730,069",983,"1,220","19,122","1,982","17,140","18,120","12,664","12,611","13,116","13,261","13,785","12,256","13,219","12,476","26,597","33,351","45,303","32,692","21,841","20,323","19,258","497,525","320,873","1,387",359,394,"5,051","1,922","2,885","3,739","3,381","71,024","16,527","41,423","34,835","50,527","12,722","3,992","2,685","252,853","69,926","1,740",200,388,"3,767","1,383","2,447","2,886","2,379","58,813","15,366","37,165","35,411","59,435","18,132","2,843","2,317","244,672","82,727"
Ohio,04000US39,"11,675,275","9,804,367","76,726","14,742","86,540","37,884","12,038","22,785","88,528","81,704","63,819","64,353","81,546","34,495","20,518","685,678",5.87%,"71,652","13,630","81,227","35,087","12,075","22,449","115,044","135,900","94,493","83,110","92,270","53,131","50,265","860,333",7.37%,"11,350,378",13.24%,"9,141,370","1,422,412","14,901","266,601","11,215,336","3,367","30,924","335,761","24,876","310,885","312,285","205,843","216,934","232,357","220,456","230,470","212,845","218,741","193,775","377,871","490,056","615,531","416,244","263,705","264,032","246,081","8,014,966","4,717,226","36,112","8,435","12,343","52,677","42,214","70,646","85,343","69,273","1,318,001","261,883","523,724","283,379","683,669","269,504","82,277","52,785","3,852,265","1,088,235","37,644","7,790","11,800","50,869","38,167","67,804","86,688","60,965","1,311,869","288,915","553,769","419,117","754,508","376,674","57,846","38,276","4,162,701","1,227,304"
Oklahoma,04000US40,"3,949,342","3,248,192","29,827","5,796","33,649","15,453","5,040","9,304","38,859","30,565","26,097","23,486","25,996","12,042","7,471","263,585",6.67%,"30,149","6,047","33,030","13,397","4,524","8,321","44,725","50,809","37,692","28,153","32,260","17,222","15,606","321,935",8.15%,"3,833,712",14.83%,"2,563,119","282,134","288,801","85,858","3,517,875","5,820","6,774","285,369","6,952","278,417","99,449","70,502","71,872","87,859","79,049","75,372","71,888","71,323","66,735","120,926","155,864","186,190","124,315","74,087","71,501","66,637","2,611,680","1,493,569","14,945","6,134","13,692","20,365","19,739","26,116","32,379","23,397","414,487","88,595","196,857","93,754","208,834","71,479","23,344","15,678","1,269,795","319,335","13,036","4,474","11,958","16,734","19,427","24,844","30,188","21,604","398,131","105,324","211,512","121,086","239,532","96,839","16,180","11,016","1,341,885","363,567"
Oregon,04000US41,"4,176,346","3,590,186","19,129","3,813","21,940","9,832","3,288","7,228","37,760","32,612","24,522","21,753","27,216","14,419","7,446","230,958",5.53%,"17,677","3,355","22,119","9,070","3,502","6,396","43,774","44,684","31,490","25,331","31,921","19,989","16,292","275,600",6.60%,"4,096,744",12.13%,"3,128,494","75,418","35,842","185,221","3,624,067","15,614","10,660","172,818","14,677","158,141","88,320","62,190","64,285","69,542","69,878","72,257","68,877","67,335","63,741","127,297","170,588","218,325","161,435","105,256","114,652","118,601","2,944,830","1,642,579","16,041","7,558","15,016","14,101","16,490","19,479","22,810","29,521","337,989","109,724","242,898","123,550","299,979","116,675","38,185","29,830","1,439,846","484,669","16,416","7,086","12,673","12,514","12,218","17,214","19,488","22,160","329,352","127,858","257,072","142,558","327,381","150,257","29,276","21,461","1,504,984","528,375"
Pennsylvania,04000US42,"12,794,885","10,906,631","63,789","13,016","76,977","35,197","11,662","21,377","92,133","76,354","59,470","62,391","76,912","38,243","25,710","653,231",5.11%,"62,083","12,184","73,230","32,528","10,822","21,548","107,999","121,813","90,718","82,212","90,602","57,337","64,123","827,199",6.47%,"12,387,061",11.57%,"9,685,118","1,352,329","12,224","445,725","11,823,072","2,968","38,765","285,943","31,223","254,720","296,733","206,216","223,380","227,639","226,678","231,190","210,468","214,098","193,504","389,971","506,258","674,070","484,045","316,906","341,400","364,045","8,989,998","5,106,601","44,747","12,140","19,287","61,137","49,716","73,981","81,596","69,086","1,514,758","235,851","455,045","332,047","847,743","340,781","109,615","79,833","4,327,363","1,377,972","47,115","13,764","18,060","59,631","45,813","68,889","81,645","63,360","1,557,623","258,753","475,944","443,493","906,568","480,871","79,834","61,272","4,662,635","1,528,545"
Rhode Island,04000US44,"1,057,798","899,243","4,563",747,"5,597","2,223",772,"1,694","7,633","6,475","5,278","5,371","6,180","3,351","2,409","52,293",4.94%,"4,492",861,"5,909","2,023",756,"1,992","8,873","9,393","6,463","7,407","6,658","5,010","5,655","65,492",6.19%,"1,017,028",11.13%,"755,708","58,680","2,832","35,856","889,791",648,"6,870","29,197","5,143","24,054","23,068","20,361","17,192","16,221","15,760","16,461","15,193","16,564","12,902","26,967","38,606","55,280","44,381","31,508","32,357","31,909","741,370","414,730","5,356","2,701","3,243","5,255","5,571","5,479","5,419","6,568","104,386","20,803","40,554","26,754","73,858","31,432","10,151","6,777","354,307","122,218","5,872","4,181","3,251","5,190","4,545","6,273","6,213","5,141","102,972","24,313","47,546","34,140","82,123","41,819","7,486","5,998","387,063","137,426"
South Carolina,04000US45,"5,091,517","4,223,711","33,052","5,537","41,244","19,254","6,405","11,188","38,873","32,790","27,575","29,125","38,128","19,724","10,723","313,618",6.16%,"33,491","5,869","39,377","19,108","5,424","11,112","51,618","62,766","44,827","38,692","45,952","30,195","24,421","412,852",8.11%,"4,950,181",14.27%,"3,230,111","1,337,126","14,085","82,800","4,794,620","3,384","13,540","113,574","6,959","106,615","144,667","93,868","94,132","100,766","96,984","102,249","91,978","89,463","83,622","157,235","199,579","242,320","162,804","99,791","102,323","99,700","3,512,626","1,961,481","20,527","7,833","14,758","25,930","28,229","42,875","41,384","35,674","502,028","95,292","235,246","143,472","301,324","107,341","34,120","24,047","1,660,080","466,832","18,268","5,424","11,068","24,883","25,097","39,409","39,373","29,602","511,994","120,882","271,123","203,949","337,070","171,145","24,836","18,423","1,852,546","551,474"
South Dakota,04000US46,"879,336","741,047","5,657","1,539","5,170","2,079",787,"1,630","8,795","6,431","4,815","3,702","4,396","2,629","1,742","49,372",5.61%,"5,106","1,115","5,655","2,869",599,"1,646","9,698","8,233","5,519","5,100","5,675","3,474","4,802","59,491",6.77%,"849,910",12.38%,"715,328","18,436","72,142","12,275","843,248",494,824,"23,749","1,900","21,849","18,482","14,295","14,269","15,825","15,542","19,137","15,536","16,787","15,087","29,263","37,325","50,831","33,030","19,415","17,582","15,472","580,244","347,878","2,527",606,988,"4,926","2,313","3,922","5,056","4,024","94,558","18,215","41,723","31,616","54,483","15,383","5,934","3,738","290,012","79,538","2,044",466,454,"4,279","2,645","3,588","4,277","3,055","80,782","18,915","43,369","35,905","61,917","21,839","3,920","2,777","290,232","90,453"
Tennessee,04000US47,"6,772,268","5,638,255","49,642","9,574","54,161","23,896","7,149","14,646","50,842","48,800","39,781","43,073","48,807","22,101","13,082","425,554",6.28%,"46,220","7,652","51,794","22,097","7,501","13,894","65,650","84,302","61,065","52,664","61,165","33,407","32,248","539,659",7.97%,"6,603,468",14.25%,"4,969,371","1,118,600","13,814","121,808","6,395,106","3,439","15,482","152,592","15,911","136,681","175,988","130,396","132,977","131,607","129,940","138,602","125,943","128,533","112,597","215,511","271,257","328,793","220,989","130,807","130,018","135,497","4,649,847","2,639,455","24,458","9,557","19,778","49,278","36,693","50,385","53,795","40,969","739,105","138,239","313,378","141,020","388,661","137,415","46,634","33,009","2,222,374","605,719","24,542","7,271","15,469","46,156","33,995","48,058","49,802","37,527","740,543","163,701","349,014","208,142","438,286","201,600","37,223","26,144","2,427,473","703,253"
Texas,04000US48,"28,635,442","24,029,186","222,313","42,443","258,726","117,922","37,584","70,177","231,391","201,407","169,024","135,757","147,220","85,394","56,133","1,775,491",6.20%,"208,156","38,393","246,459","111,725","37,214","71,165","298,442","325,171","262,620","185,590","188,051","126,333","109,450","2,208,769",7.71%,"28,013,446",13.91%,"11,850,477","3,367,449","65,132","1,396,953","17,341,185","21,477","55,897","583,800","48,041","535,759","591,845","387,297","398,380","433,431","433,900","447,017","411,783","427,581","378,370","766,991","973,610","1,242,248","922,122","624,055","692,907","774,533","18,449,851","9,906,070","200,441","114,039","242,280","167,855","219,935","164,846","184,550","178,863","2,292,848","543,952","1,364,622","622,338","1,739,411","666,803","181,368","127,438","9,011,589","2,715,020","203,957","112,527","238,362","164,921","200,742","156,591","173,647","161,178","2,266,186","623,593","1,442,132","747,268","1,931,674","787,914","136,588","90,982","9,438,262","2,947,158"
Utah,04000US49,"3,151,239","2,818,689","14,173","2,511","16,884","6,588","2,215","4,442","28,600","18,388","12,011","8,139","7,711","4,443","3,392","129,497",4.11%,"13,340","2,600","16,228","6,029","1,906","4,130","34,860","23,611","16,971","10,635","10,009","6,370","7,174","153,863",4.88%,"3,102,049",8.99%,"2,455,192","34,982","27,734","72,061","2,705,172","28,820","6,851","79,532","5,679","73,853","36,211","27,395","28,460","32,497","36,116","36,578","36,663","42,449","38,972","77,693","114,434","154,963","115,843","77,194","77,824","70,053","1,868,472","1,003,345","7,710","3,196","6,863","5,184","7,460","8,494","12,983","17,535","205,417","68,816","162,443","82,267","210,367","88,193","23,231","19,441","929,600","341,232","8,350","2,757","6,731","4,962","6,696","7,537","11,637","13,615","219,763","80,627","165,081","104,278","219,569","68,168","10,861","8,240","938,872","306,838"
Vermont,04000US50,"624,340","535,238","1,970",468,"2,504","1,029",570,674,"5,124","3,334","2,812","2,984","3,987","2,310","1,233","28,999",4.64%,"1,767",458,"2,261","1,066",279,929,"6,961","4,472","3,854","3,532","4,592","2,771","2,759","35,701",5.72%,"599,938",10.36%,"576,601","7,496","1,538","10,042","611,822",192,972,"14,981","1,595","13,386","11,930","12,907","11,106","11,582","11,840","11,548","11,152","10,940","10,291","20,731","27,349","36,571","25,770","17,209","16,114","15,812","442,089","262,852","1,385",223,393,"2,702","2,235","3,727","3,730","2,892","67,606","10,930","24,044","16,805","47,000","19,129","6,379","4,943","214,123","77,451","1,158",245,295,"2,252","1,444","2,141","2,270","1,665","57,286","12,676","26,369","22,288","56,940","31,817","5,286","3,834","227,966","97,877"
Virginia,04000US51,"8,509,358","7,428,867","35,247","6,194","42,243","19,151","6,371","11,814","57,999","41,262","31,597","32,527","40,125","22,634","13,276","360,440",4.24%,"34,342","6,627","41,590","18,607","7,010","12,441","69,808","68,816","54,289","43,759","48,437","30,104","30,438","466,268",5.48%,"8,255,575",9.72%,"5,209,336","1,590,974","16,856","564,706","7,698,588","4,680","26,839","285,197","18,720","266,477","151,739","103,516","105,446","116,388","111,000","116,036","112,945","116,509","113,165","222,657","296,020","411,580","319,742","228,952","287,495","370,931","5,831,949","3,184,121","35,170","12,485","25,847","44,251","35,642","46,895","48,715","44,081","707,708","165,508","357,770","191,101","608,206","341,894","83,914","64,968","2,814,155","1,098,982","36,992","11,854","22,169","38,158","30,286","44,055","45,019","41,982","685,115","193,122","395,402","268,132","695,873","396,174","65,797","47,664","3,017,794","1,205,508"
Washington,04000US53,"7,512,465","6,621,389","31,175","5,876","36,319","15,518","6,205","9,365","51,730","47,323","34,886","32,280","38,566","20,693","11,554","341,490",4.55%,"28,329","5,372","35,016","15,190","5,312","10,382","61,276","66,461","45,601","38,770","44,608","28,252","24,985","409,554",5.45%,"7,372,433",10.00%,"5,067,909","279,720","75,677","656,578","6,540,943","49,219","23,363","388,477","24,106","364,371","128,995","89,342","89,034","98,392","96,810","102,470","102,798","109,838","102,104","211,704","285,046","394,352","308,233","220,953","259,273","306,478","5,199,771","2,905,822","31,338","13,948","23,309","20,915","25,621","28,092","36,205","47,069","584,928","187,725","395,020","239,461","579,345","243,169","65,499","48,801","2,570,445","936,814","33,284","14,519","22,777","21,282","21,517","24,656","29,404","37,467","548,761","209,593","409,169","286,473","604,604","278,465","53,245","34,110","2,629,326","970,424"
West Virginia,04000US54,"1,807,426","1,455,439","11,446","2,205","14,682","6,073","1,988","3,669","18,587","16,722","14,317","14,657","16,682","8,046","4,699","133,773",7.40%,"12,568","2,467","14,515","5,963","2,142","4,500","22,401","23,618","19,460","17,305","19,883","11,000","10,557","166,379",9.21%,"1,755,591",16.61%,"1,654,681","63,133","3,072","13,948","1,778,747",453,"4,314","39,146","6,264","32,882","62,341","43,003","45,613","44,635","40,805","38,618","36,587","36,099","31,345","59,462","71,705","84,975","54,432","32,924","28,689","23,002","1,283,869","734,235","5,411","1,800","4,353","17,126","13,759","18,159","15,621","8,371","263,609","36,367","77,432","37,583","76,845","30,577","9,932","7,441","624,386","124,795","4,556","1,349","3,289","14,245","12,014","15,631","15,683","7,664","249,534","43,037","83,694","60,157","86,753","50,025","6,454","5,398","659,483","148,630"
Wisconsin,04000US55,"5,806,975","5,038,538","26,658","5,630","31,271","13,344","4,203","8,577","52,029","31,713","22,923","23,358","31,242","16,341","10,625","277,914",4.79%,"26,587","5,142","29,564","12,891","4,985","8,288","61,276","48,980","34,931","27,924","35,251","23,012","24,202","343,033",5.91%,"5,659,485",10.69%,"4,681,072","360,526","43,830","162,010","5,398,708","2,174","14,407","134,689","9,705","124,984","109,952","98,635","99,312","105,976","103,903","110,276","101,518","107,414","99,181","190,859","258,520","335,854","239,423","148,589","143,889","124,634","3,982,118","2,377,935","18,489","4,340","8,440","20,640","15,758","25,456","32,665","37,072","622,627","131,818","270,328","201,002","373,205","126,807","40,581","27,816","1,957,044","568,409","17,258","4,271","7,006","19,903","12,309","20,025","26,862","24,713","582,694","138,092","276,860","236,943","433,313","174,530","28,726","21,569","2,025,074","658,138"
Wyoming,04000US56,"581,348","505,852","2,947",565,"3,077","1,074",335,693,"5,412","3,619","2,045","1,889","3,214","1,958",886,"27,714",4.77%,"2,377",658,"2,471",921,277,780,"7,083","4,933","3,173","2,776","3,225","2,390","2,228","33,292",5.73%,"566,858",10.49%,"485,816","4,712","11,596","4,746","522,494",482,825,"14,317","1,227","13,090","12,063","8,702","9,643","9,237","11,085","9,421","9,426","9,721","9,558","18,561","24,003","34,853","24,889","15,911","14,383","11,775","392,819","233,231","1,295",324,597,"1,819","1,275","1,901","2,908","3,380","62,185","15,304","33,896","20,123","32,716","14,172","3,815","2,981","198,691","53,684",996,239,509,"1,271","1,195","2,307","2,789","2,396","49,998","16,959","33,633","24,821","36,680","16,494","2,108","1,733","194,128","57,015"
