name,geoid,B17001001,"B17001001, Error",B17001002,"B17001002, Error",B17001003,"B17001003, Error",B17001004,"B17001004, Error",B17001005,"B17001005, Error",B17001006,"B17001006, Error",B17001007,"B17001007, Error",B17001008,"B17001008, Error",B17001009,"B17001009, Error",B17001010,"B17001010, Error",B17001011,"B17001011, Error",B17001012,"B17001012, Error",B17001013,"B17001013, Error",B17001014,"B17001014, Error",B17001015,"B17001015, Error",B17001016,"B17001016, Error",B17001017,"B17001017, Error",B17001018,"B17001018, Error",B17001019,"B17001019, Error",B17001020,"B17001020, Error",B17001021,"B17001021, Error",B17001022,"B17001022, Error",B17001023,"B17001023, Error",B17001024,"B17001024, Error",B17001025,"B17001025, Error",B17001026,"B17001026, Error",B17001027,"B17001027, Error",B17001028,"B17001028, Error",B17001029,"B17001029, Error",B17001030,"B17001030, Error",B17001031,"B17001031, Error",B17001032,"B17001032, Error",B17001033,"B17001033, Error",B17001034,"B17001034, Error",B17001035,"B17001035, Error",B17001036,"B17001036, Error",B17001037,"B17001037, Error",B17001038,"B17001038, Error",B17001039,"B17001039, Error",B17001040,"B17001040, Error",B17001041,"B17001041, Error",B17001042,"B17001042, Error",B17001043,"B17001043, Error",B17001044,"B17001044, Error",B17001045,"B17001045, Error",B17001046,"B17001046, Error",B17001047,"B17001047, Error",B17001048,"B17001048, Error",B17001049,"B17001049, Error",B17001050,"B17001050, Error",B17001051,"B17001051, Error",B17001052,"B17001052, Error",B17001053,"B17001053, Error",B17001054,"B17001054, Error",B17001055,"B17001055, Error",B17001056,"B17001056, Error",B17001057,"B17001057, Error",B17001058,"B17001058, Error",B17001059,"B17001059, Error"
Indiana,04000US18,"6,491,632",2169,"838,149",12468,372593,6702,42623,1903,7469,696,47485,2198,19950,1019,7661,856,13469,866,58965,2051,42259,1859,34628,1372,34359,1424,36305,1407,16811,861,10609,734,465556,7414,38433,1594,"8,281",743,"44,140",2049,20305,1143,6462,628,13281,842,71760,2023,71522,2332,54099,1906,43031,1716,46173,1422,24702,927,23367,1025,5653483,12781,2813070,7035,167448,2164,33452,1385,213738,2775,116109,2270,40112,1420,75784,1787,237630,2299,383360,2041,363151,1731,376191,1551,383042,1525,267149,1063,155904,968,2840413,7616,159729,1644,32758,1297,206206,3057,107870,2604,36653,1250,75587,1351,208669,2343,361135,2369,357861,2064,377824,1820,399852,1616,298351,1218,217918,1328
Iowa,04000US19,"3,051,284",1014,"339,090",6616,150447,3687,15742,979,2993,393,16103,870,7213,593,2568,291,4249,407,29715,1409,17028,1147,12859,841,13857,828,15502,887,7442,577,5176,455,188643,3925,13988,857,"3,042",377,"14,942",881,7193,692,2383,289,4689,494,38191,1425,28124,1313,19720,910,15501,850,17241,827,9918,651,13711,638,2712194,6812,1361477,3865,81757,1100,17719,734,106848,1573,53154,1185,17632,658,37789,844,108819,1504,180520,1055,178235,1174,170994,906,187933,1016,134971,686,85106,662,1350717,4120,80646,903,16178,818,103434,1719,52322,1392,16908,701,35147,848,92239,1569,165754,1617,166839,901,169578,985,193020,959,143971,752,114681,761
Kansas,04000US20,"2,828,498",997,"323,644",6562,142224,3484,14975,831,2415,354,16283,994,7463,658,2022,390,4729,449,27531,1190,17564,1155,12123,902,11306,721,13732,883,6812,510,5269,453,181420,4258,14249,861,"3,007",385,"16,919",1111,7153,713,2902,414,4579,464,35749,1440,25757,1144,17863,1012,13684,697,17504,784,10030,721,12024,809,2504854,6672,1260048,3602,80369,924,17835,906,102804,1484,52771,1429,18107,852,35266,849,106748,1247,172347,1429,163708,1096,155433,927,166404,1116,117521,686,70735,647,1244806,4434,75978,1070,15670,996,96399,1699,51716,1408,16338,753,33779,950,90734,1462,159355,1453,158093,1229,154416,849,172267,865,125212,885,94849,905
Kentucky,04000US21,"4,322,881",1527,"717,895",10991,316903,6292,32867,1392,6322,672,38014,1646,15764,1071,6142,577,10798,775,40241,1666,36800,1492,33149,1404,32579,1382,36557,1149,17694,1140,9976,531,400992,6309,32395,1342,"6,487",695,"36,870",1620,16467,996,6118,600,9779,731,51696,1881,56722,1758,45906,1406,41952,1505,46229,1447,26198,1125,24173,965,3604986,10998,1799395,6490,103907,1455,21103,987,131646,2185,67417,1759,23538,1049,46444,1223,150175,1886,244274,1837,231052,1728,245991,1565,245892,1368,183794,1306,104162,700,1805591,6393,97227,1372,17845,992,125118,2110,65268,1871,22134,1111,44270,1092,126964,1882,228181,1904,229370,1669,247425,1623,260524,1577,203069,1342,138196,1123
Louisiana,04000US22,"4,532,187",1504,"845,230",12732,365843,6869,44699,1823,6452,764,48349,2011,24177,1523,7525,783,14279,969,43037,1881,43851,2096,33303,1884,31017,1618,38837,1271,19255,821,11062,896,479387,7819,42931,1845,"7,309",649,"47,645",1854,21340,1442,7177,664,12877,1024,60635,2265,76340,2398,53454,2077,45755,1746,51381,1913,28713,1712,23830,1146,3686957,12740,1821097,7138,107155,2052,21726,1565,132395,2843,72985,1966,23079,1311,46634,1380,153820,2099,270310,2467,241467,2062,232269,1900,241684,1496,177088,1114,100485,1034,1865860,7672,105093,2007,21407,1497,129481,2622,68048,2100,22357,1084,45977,1296,133207,2235,254884,2393,241650,2171,242921,1850,262442,1879,200015,1770,138378,1137
Maine,04000US23,"1,304,038",705,"144,384",3764,64177,2200,4763,489,1011,255,6304,686,2459,333,1113,274,2044,355,7580,673,8319,681,5973,526,7467,555,9453,681,4506,453,3185,377,80207,2196,4824,504,"1,084",227,"5,845",579,1929,331,834,199,1857,266,9510,801,11595,731,8637,703,8017,728,10877,676,7153,516,8045,683,1159654,3918,573252,2340,27302,599,5491,479,34649,995,20074,979,6546,463,13295,647,39186,733,70781,779,68561,628,80444,614,91599,730,73663,514,41661,484,586402,2210,25241,603,5558,542,33980,1084,17989,839,6263,462,13049,490,34509,901,68291,780,69587,793,83464,794,97976,716,77770,559,52725,752
Maryland,04000US24,"5,894,835",1643,"531,553",8805,229901,4814,22236,1326,4900,631,26876,1690,12052,1071,3809,468,8314,720,28448,1396,26000,1362,21769,1390,22886,1321,27120,1414,15098,1054,10393,720,301652,5640,22075,1367,"4,256",563,"25,894",1364,11524,1069,4271,473,7149,533,38423,1539,45218,1775,34838,1522,29273,1410,32659,1517,23198,1337,22874,1111,5363282,9392,2610650,5119,159424,1588,29919,1210,200109,2466,102526,2350,34503,1056,68127,1249,209072,1594,373272,1475,348135,1520,363438,1456,353132,1511,230251,1201,138742,865,2752632,6108,153300,1473,30091,1485,190923,2209,97664,1845,35570,1153,64060,1298,195674,1606,369261,1899,362749,1609,394525,1522,391954,1580,271368,1374,195493,1353
Massachusetts,04000US25,"6,637,329",1307,"653,454",10187,283099,5241,23454,1437,4288,581,27881,1475,14164,1086,4764,561,9191,662,41989,2122,36488,1808,25165,1236,28579,1435,33083,1416,19859,1093,14194,988,370355,6633,23615,1391,"4,221",532,"26,118",1304,12311,957,4928,588,9146,807,47403,1862,57424,1975,41506,1568,36667,1712,42736,1504,30901,1334,33379,1263,5983875,10228,2938378,5589,156047,1565,30743,1432,195346,2399,108372,2458,36267,1206,74038,1377,236327,2285,447646,1873,382746,1371,411993,1519,412145,1585,277909,1165,168799,1204,3045497,6556,148285,1430,29582,1137,191279,2418,101265,2223,33431,1197,71892,1417,220926,2152,430724,1984,386256,1572,434957,1831,441154,1569,316894,1402,238852,1411
Michigan,04000US26,"9,753,541",1875,"1,337,256",14613,601304,7333,62717,1971,10864,941,66108,2312,31618,1414,10794,766,19117,929,91529,2031,70007,2139,57094,1868,61084,1597,70018,1689,32075,997,18279,1148,735952,8739,59515,1738,"10,964",833,"65,454",2010,29618,1467,10538,814,20812,949,111228,2839,110166,2378,77393,2272,71502,1886,77494,1802,47219,1560,44049,1651,8416285,14962,4183831,7563,222681,2028,47028,1424,290027,2758,158258,2160,55588,1325,111185,1503,355329,2091,566519,2251,509264,2042,563887,1678,602063,1758,437721,1175,264281,1288,4232454,8903,213327,1922,43805,1539,277814,3237,147348,2684,51641,1387,104668,1387,315990,2892,521481,2498,507232,2425,579630,2025,638605,1885,480639,1518,350274,1906
Minnesota,04000US27,"5,476,956",1148,"511,185",6996,230592,4191,21101,1131,3837,496,27170,1199,11194,700,4257,443,7151,600,37131,1740,26879,1099,21707,1041,21054,914,27255,1266,12858,756,8998,488,280593,4449,20044,862,"4,512",763,"27,296",1399,10726,815,3767,425,6903,556,47970,1679,40786,1359,28354,1264,23499,956,27344,920,17654,1010,21738,858,4965771,7266,2494138,4541,155296,1253,31481,1230,192792,2148,98156,2031,32800,808,65457,1035,192327,1771,355516,1466,334191,1218,323629,1158,342001,1302,230539,938,139953,683,2471633,4792,148850,982,28915,1236,181836,2032,96908,1984,32388,1059,62953,1091,171923,1999,329724,1512,321077,1323,320303,1013,350930,1001,244763,1087,181063,957
