geoid,name,B15002001,"B15002001, Error",B15002002,"B15002002, Error",B15002003,"B15002003, Error",B15002004,"B15002004, Error",B15002005,"B15002005, Error",B15002006,"B15002006, Error",B15002007,"B15002007, Error",B15002008,"B15002008, Error",B15002009,"B15002009, Error",B15002010,"B15002010, Error",B15002011,"B15002011, Error",B15002012,"B15002012, Error",B15002013,"B15002013, Error",B15002014,"B15002014, Error",B15002015,"B15002015, Error",B15002016,"B15002016, Error",B15002017,"B15002017, Error",B15002018,"B15002018, Error",B15002019,"B15002019, Error",B15002020,"B15002020, Error",B15002021,"B15002021, Error",B15002022,"B15002022, Error",B15002023,"B15002023, Error",B15002024,"B15002024, Error",B15002025,"B15002025, Error",B15002026,"B15002026, Error",B15002027,"B15002027, Error",B15002028,"B15002028, Error",B15002029,"B15002029, Error",B15002030,"B15002030, Error",B15002031,"B15002031, Error",B15002032,"B15002032, Error",B15002033,"B15002033, Error",B15002034,"B15002034, Error",B15002035,"B15002035, Error"
04000US46,South Dakota,580244,692,290012,658,2527,360,606,194,988,200,4926,398,2313,299,3922,393,5056,446,4024,420,94558,1721,18215,873,41723,1261,31616,1074,54483,1427,15383,1008,5934,525,3738,379,290232,559,2044,461,466,172,454,114,4279,397,2645,376,3588,406,4277,466,3055,395,80782,1466,18915,946,43369,1303,35905,1127,61917,1488,21839,962,3920,377,2777,407
04000US47,Tennessee,4649847,1349,2222374,1569,24458,1361,9557,790,19778,1334,49278,1633,36693,1717,50385,1841,53795,2013,40969,1810,739105,6548,138239,2968,313378,4634,141020,3085,388661,5424,137415,3268,46634,1666,33009,1379,2427473,1366,24542,1425,7271,664,15469,1014,46156,1935,33995,1667,48058,1948,49802,1835,37527,1409,740543,5821,163701,2694,349014,4591,208142,4112,438286,5240,201600,4562,37223,1527,26144,1429
04000US48,Texas,18449851,2584,9011589,2406,200441,4194,114039,4005,242280,5627,167855,3834,219935,4802,164846,4291,184550,4185,178863,4236,2292848,12671,543952,7559,1364622,11748,622338,6311,1739411,12439,666803,7944,181368,4165,127438,3050,9438262,2018,203957,4172,112527,3666,238362,5292,164921,4136,200742,5077,156591,3541,173647,3643,161178,3919,2266186,13682,623593,8318,1442132,12012,747268,8086,1931674,13345,787914,9943,136588,3587,90982,2939
04000US49,Utah,1868472,685,929600,639,7710,764,3196,554,6863,667,5184,577,7460,617,8494,673,12983,891,17535,1132,205417,4106,68816,2065,162443,2785,82267,2198,210367,3365,88193,1948,23231,995,19441,1009,938872,579,8350,808,2757,386,6731,601,4962,645,6696,580,7537,676,11637,744,13615,856,219763,3737,80627,2036,165081,2768,104278,2577,219569,3220,68168,1804,10861,698,8240,673
04000US50,Vermont,442089,398,214123,334,1385,205,223,89,393,153,2702,350,2235,341,3727,387,3730,404,2892,375,67606,1570,10930,668,24044,1018,16805,895,47000,1394,19129,737,6379,497,4943,447,227966,300,1158,215,245,89,295,103,2252,310,1444,248,2141,265,2270,316,1665,211,57286,1448,12676,719,26369,943,22288,850,56940,1344,31817,1042,5286,445,3834,408
04000US51,Virginia,5831949,1829,2814155,1603,35170,1554,12485,947,25847,1317,44251,1982,35642,1722,46895,1897,48715,1702,44081,1752,707708,7625,165508,3241,357770,4838,191101,3393,608206,6085,341894,4351,83914,2123,64968,1872,3017794,1256,36992,1666,11854,888,22169,1358,38158,1635,30286,1523,44055,1557,45019,1686,41982,1514,685115,6866,193122,3711,395402,5503,268132,4535,695873,6301,396174,5297,65797,1872,47664,1564
04000US53,Washington,5199771,913,2570445,793,31338,1456,13948,1120,23309,1274,20915,1262,25621,1480,28092,1320,36205,1460,47069,1696,584928,6576,187725,4046,395020,4751,239461,3504,579345,5532,243169,4331,65499,1987,48801,1634,2629326,588,33284,1503,14519,1192,22777,1236,21282,1206,21517,1099,24656,1294,29404,1208,37467,1564,548761,5600,209593,3093,409169,4664,286473,3651,604604,5355,278465,4112,53245,1950,34110,1416
04000US54,West Virginia,1283869,894,624386,768,5411,526,1800,306,4353,467,17126,831,13759,993,18159,1133,15621,997,8371,622,263609,2899,36367,1356,77432,2260,37583,1492,76845,1963,30577,1286,9932,629,7441,623,659483,766,4556,448,1349,300,3289,461,14245,809,12014,943,15631,1047,15683,941,7664,617,249534,3209,43037,1672,83694,2392,60157,1977,86753,2465,50025,1685,6454,574,5398,573
04000US55,Wisconsin,3982118,781,1957044,695,18489,917,4340,432,8440,678,20640,833,15758,741,25456,1187,32665,1079,37072,1247,622627,5046,131818,2430,270328,3475,201002,2504,373205,3332,126807,2313,40581,1367,27816,1084,2025074,676,17258,1006,4271,499,7006,690,19903,953,12309,818,20025,987,26862,1339,24713,1231,582694,4090,138092,2493,276860,3278,236943,3350,433313,3816,174530,2870,28726,1172,21569,990
04000US56,Wyoming,392819,895,198691,725,1295,308,324,125,597,179,1819,353,1275,299,1901,324,2908,358,3380,469,62185,1595,15304,916,33896,1273,20123,1160,32716,1075,14172,874,3815,485,2981,387,194128,642,996,252,239,99,509,231,1271,284,1195,213,2307,330,2789,375,2396,313,49998,1625,16959,828,33633,1099,24821,999,36680,1359,16494,968,2108,399,1733,310
